   .Foto #1	-- Fecha	02/09/2025---10:02:06 a. m.
   	Wavelength	Dark Substract	
3.295141E+2	0.000000E+0
3.296292E+2	0.000000E+0
3.297442E+2	-2.068448E+0
3.298593E+2	-3.727303E+0
3.299743E+2	3.583945E+0
3.300893E+2	-3.686344E-1
3.302043E+2	-2.109408E+0
3.303192E+2	-1.843172E-1
3.304342E+2	5.590955E+0
3.305491E+2	-5.631914E+0
3.306640E+2	-9.133941E+0
3.307790E+2	2.396123E+0
3.308939E+2	7.823241E+0
3.310087E+2	4.874166E+0
3.311236E+2	-2.252766E+0
3.312385E+2	3.686344E-1
3.313533E+2	3.993539E+0
3.314682E+2	3.522506E+0
3.315830E+2	1.945570E+0
3.316978E+2	1.179630E+1
3.318126E+2	1.126383E+0
3.319273E+2	-1.023984E+0
3.320421E+2	9.850730E+0
3.321569E+2	1.708006E+1
3.322716E+2	1.474537E+1
3.323863E+2	8.253314E+0
3.325010E+2	6.553500E+0
3.326157E+2	3.583945E+0
3.327304E+2	3.788742E+0
3.328451E+2	3.993539E+0
3.329597E+2	4.259775E+0
3.330744E+2	7.045013E+0
3.331890E+2	2.744278E+0
3.333036E+2	5.304239E+0
3.334182E+2	1.200110E+1
3.335328E+2	3.809222E+0
3.336473E+2	1.228781E-1
3.337619E+2	-4.956084E+0
3.338764E+2	4.505531E+0
3.339910E+2	1.916899E+1
3.341055E+2	1.634279E+1
3.342200E+2	-2.007009E+0
3.343345E+2	-2.047969E+0
3.344489E+2	2.805717E+0
3.345634E+2	1.064944E+0
3.346779E+2	5.058483E+0
3.347923E+2	4.403133E+0
3.349067E+2	2.805717E+0
3.350211E+2	1.720294E+0
3.351355E+2	5.775272E+0
3.352499E+2	4.976564E+0
3.353642E+2	3.030994E+0
3.354786E+2	7.352208E+0
3.355929E+2	1.181678E+1
3.357073E+2	2.559961E+0
3.358216E+2	1.269741E+1
3.359359E+2	1.083375E+1
3.360501E+2	2.641880E+0
3.361644E+2	6.061987E+0
3.362787E+2	1.112047E+1
3.363929E+2	-1.146863E+0
3.365071E+2	-4.566970E+0
3.366214E+2	-2.293725E+0
3.367356E+2	3.153872E+0
3.368497E+2	3.809222E+0
3.369639E+2	5.775272E+0
3.370781E+2	-9.113461E+0
3.371922E+2	4.177856E+0
3.373063E+2	1.542120E+1
3.374205E+2	3.481547E-1
3.375346E+2	5.734313E-1
3.376487E+2	8.048517E+0
3.377627E+2	7.393167E+0
3.378768E+2	1.822692E+0
3.379909E+2	6.430622E+0
3.381049E+2	6.225825E+0
3.382189E+2	-1.085423E+0
3.383329E+2	9.318258E+0
3.384469E+2	6.737817E+0
3.385609E+2	3.788742E+0
3.386749E+2	3.194831E+0
3.387888E+2	4.505531E-1
3.389028E+2	1.382379E+1
3.390167E+2	-9.830250E-1
3.391306E+2	2.191327E+0
3.392445E+2	2.723798E+0
3.393584E+2	-3.338189E+0
3.394723E+2	1.048560E+1
3.395861E+2	6.881175E+0
3.397000E+2	6.225825E+0
3.398138E+2	1.167342E+1
3.399276E+2	-1.474537E+0
3.400414E+2	3.112912E+0
3.401552E+2	4.341694E+0
3.402690E+2	1.048560E+1
3.403828E+2	1.300460E+1
3.404965E+2	1.101807E+1
3.406103E+2	1.015793E+1
3.407240E+2	3.604425E+0
3.408377E+2	5.345198E+0
3.409514E+2	-1.249261E+0
3.410651E+2	8.806266E+0
3.411788E+2	1.046512E+1
3.412924E+2	3.112913E+0
3.414061E+2	1.519593E+1
3.415197E+2	8.888184E+0
3.416333E+2	-1.761253E+0
3.417469E+2	1.001457E+1
3.418605E+2	2.170847E+0
3.419741E+2	1.535977E+0
3.420876E+2	5.078963E+0
3.422012E+2	2.764758E+0
3.423147E+2	7.331728E+0
3.424282E+2	1.038320E+1
3.425417E+2	3.297230E+0
3.426552E+2	5.447597E+0
3.427687E+2	6.860695E+0
3.428822E+2	2.127840E+1
3.429957E+2	1.023984E+0
3.431091E+2	1.167342E+1
3.432225E+2	1.603560E+1
3.433359E+2	6.225825E+0
3.434493E+2	4.566970E+0
3.435627E+2	4.198336E+0
3.436761E+2	-1.085423E+0
3.437895E+2	1.128431E+1
3.439028E+2	1.679334E+0
3.440161E+2	1.066992E+1
3.441295E+2	5.447597E+0
3.442428E+2	4.689848E+0
3.443561E+2	4.915125E+0
3.444693E+2	5.631914E+0
3.445826E+2	3.030994E+0
3.446959E+2	-3.563466E+0
3.448091E+2	1.228781E+1
3.449223E+2	2.744278E+0
3.450355E+2	3.809222E+0
3.451487E+2	1.044464E+1
3.452619E+2	5.816231E+0
3.453751E+2	8.458111E+0
3.454883E+2	8.867705E+0
3.456014E+2	1.019888E+1
3.457145E+2	4.075458E+0
3.458277E+2	3.461067E+0
3.459408E+2	8.601469E-1
3.460539E+2	3.809222E+0
3.461669E+2	-1.023984E-1
3.462800E+2	8.888184E+0
3.463931E+2	-2.703319E+0
3.465061E+2	2.805717E+0
3.466191E+2	8.970103E+0
3.467321E+2	2.293725E+0
3.468451E+2	1.015793E+1
3.469581E+2	-4.054978E+0
3.470711E+2	-6.143906E-2
3.471841E+2	-1.208302E+0
3.472970E+2	1.986530E+0
3.474099E+2	1.263597E+1
3.475229E+2	-1.597416E+0
3.476358E+2	2.355164E+0
3.477486E+2	9.932648E+0
3.478615E+2	6.205345E+0
3.479744E+2	9.973608E+0
3.480872E+2	4.853686E+0
3.482001E+2	7.188370E+0
3.483129E+2	1.746917E+1
3.484257E+2	-3.481547E-1
3.485385E+2	-1.966050E+0
3.486513E+2	-6.963094E+0
3.487641E+2	5.140402E+0
3.488768E+2	1.638375E-1
3.489896E+2	4.157377E+0
3.491023E+2	1.638375E+0
3.492150E+2	9.994087E+0
3.493278E+2	-1.617895E+0
3.494404E+2	7.761802E+0
3.495531E+2	5.713833E+0
3.496658E+2	1.062896E+1
3.497784E+2	-5.447597E+0
3.498911E+2	2.764758E+0
3.500037E+2	2.908116E+0
3.501163E+2	6.942614E+0
3.502289E+2	2.764758E+0
3.503415E+2	1.335276E+1
3.504541E+2	8.478591E+0
3.505667E+2	5.611434E+0
3.506792E+2	3.809222E+0
3.507917E+2	8.335233E+0
3.509043E+2	6.553500E+0
3.510168E+2	9.011063E-1
3.511293E+2	2.785237E+0
3.512417E+2	4.300734E+0
3.513542E+2	6.410142E+0
3.514667E+2	1.220589E+1
3.515791E+2	1.433578E+0
3.516915E+2	1.146863E+1
3.518040E+2	7.905159E+0
3.519164E+2	1.259501E+1
3.520287E+2	7.864200E+0
3.521411E+2	-1.064944E+0
3.522535E+2	-2.355164E+0
3.523658E+2	1.245165E+1
3.524782E+2	-1.843172E-1
3.525905E+2	1.269741E+0
