   .Foto #1	-- Fecha	02/09/2025---10:02:17 a. m.
   	Wavelength	Dark Substract	
3.295141E+2	0.000000E+0
3.296292E+2	0.000000E+0
3.297442E+2	1.658855E+0
3.298593E+2	7.577484E+0
3.299743E+2	-2.703319E+0
3.300893E+2	-6.328223E+0
3.302043E+2	6.143906E-1
3.303192E+2	3.624905E+0
3.304342E+2	3.071953E+0
3.305491E+2	2.498522E+0
3.306640E+2	-7.495566E+0
3.307790E+2	3.276750E-1
3.308939E+2	2.928595E+0
3.310087E+2	-9.830250E-1
3.311236E+2	1.392619E+0
3.312385E+2	3.338189E+0
3.313533E+2	1.535977E+0
3.314682E+2	4.976564E+0
3.315830E+2	3.686344E-1
3.316978E+2	9.052022E+0
3.318126E+2	-1.495017E+0
3.319273E+2	9.502575E+0
3.320421E+2	5.918630E+0
3.321569E+2	1.026032E+1
3.322716E+2	5.017523E+0
3.323863E+2	9.154420E+0
3.325010E+2	7.720842E+0
3.326157E+2	4.607930E+0
3.327304E+2	5.734313E+0
3.328451E+2	5.078963E+0
3.329597E+2	-3.502027E+0
3.330744E+2	4.464572E+0
3.331890E+2	5.119922E-1
3.333036E+2	2.498522E+0
3.334182E+2	1.189870E+1
3.335328E+2	5.201841E+0
3.336473E+2	4.218816E+0
3.337619E+2	1.249261E+0
3.338764E+2	-2.191327E+0
3.339910E+2	7.475086E+0
3.341055E+2	1.079280E+1
3.342200E+2	3.686344E-1
3.343345E+2	-1.433578E-1
3.344489E+2	-1.023984E-1
3.345634E+2	1.085423E+0
3.346779E+2	3.973059E+0
3.347923E+2	6.778777E+0
3.349067E+2	-1.249261E+0
3.350211E+2	-1.290220E+0
3.351355E+2	1.087471E+1
3.352499E+2	1.495017E+0
3.353642E+2	9.338737E+0
3.354786E+2	9.502575E+0
3.355929E+2	2.252766E-1
3.357073E+2	8.662908E+0
3.358216E+2	8.191875E-2
3.359359E+2	4.566970E+0
3.360501E+2	1.986530E+0
3.361644E+2	1.109999E+1
3.362787E+2	2.027489E+0
3.363929E+2	-3.542986E+0
3.365071E+2	-2.150367E+0
3.366214E+2	-3.092433E+0
3.367356E+2	-4.710328E+0
3.368497E+2	3.768262E+0
3.369639E+2	4.239295E+0
3.370781E+2	-5.099442E+0
3.371922E+2	-3.092433E+0
3.373063E+2	1.499113E+1
3.374205E+2	-2.314205E+0
3.375346E+2	7.208850E+0
3.376487E+2	6.983573E+0
3.377627E+2	2.519002E+0
3.378768E+2	3.973059E+0
3.379909E+2	1.556456E+0
3.381049E+2	7.659403E+0
3.382189E+2	4.997044E+0
3.383329E+2	3.727303E+0
3.384469E+2	1.013745E+1
3.385609E+2	9.768811E+0
3.386749E+2	2.150367E+0
3.387888E+2	-2.416603E+0
3.389028E+2	9.830250E-1
3.390167E+2	-1.126383E+0
3.391306E+2	7.782281E-1
3.392445E+2	1.535977E+0
3.393584E+2	-4.546491E+0
3.394723E+2	2.088928E+0
3.395861E+2	-8.191875E-1
3.397000E+2	3.481547E+0
3.398138E+2	6.778777E+0
3.399276E+2	-2.969555E+0
3.400414E+2	6.410142E+0
3.401552E+2	-9.420656E-1
3.402690E+2	3.502027E+0
3.403828E+2	1.845220E+1
3.404965E+2	8.806266E+0
3.406103E+2	5.590955E+0
3.407240E+2	-1.023984E+0
3.408377E+2	7.782281E-1
3.409514E+2	1.187822E+0
3.410651E+2	6.082467E+0
3.411788E+2	1.208302E+0
3.412924E+2	5.140402E+0
3.414061E+2	8.929144E+0
3.415197E+2	3.502027E+0
3.416333E+2	6.840216E+0
3.417469E+2	1.040368E+1
3.418605E+2	2.908116E+0
3.419741E+2	9.011062E-1
3.420876E+2	-2.662359E-1
3.422012E+2	5.795752E+0
3.423147E+2	1.781733E+0
3.424282E+2	7.147411E+0
3.425417E+2	7.167891E-1
3.426552E+2	9.789291E+0
3.427687E+2	4.915125E-1
3.428822E+2	1.427434E+1
3.429957E+2	6.225825E+0
3.431091E+2	3.747783E+0
3.432225E+2	7.331728E+0
3.433359E+2	3.071953E-1
3.434493E+2	7.065492E+0
3.435627E+2	1.099759E+1
3.436761E+2	-1.740773E+0
3.437895E+2	3.502027E+0
3.439028E+2	7.782281E-1
3.440161E+2	2.007009E+0
3.441295E+2	9.789291E+0
3.442428E+2	2.396123E+0
3.443561E+2	-1.372139E+0
3.444693E+2	6.512541E+0
3.445826E+2	-3.440588E+0
3.446959E+2	-1.740773E+0
3.448091E+2	9.502575E+0
3.449223E+2	2.457563E-1
3.450355E+2	1.208302E+0
3.451487E+2	3.583945E+0
3.452619E+2	2.273245E+0
3.453751E+2	2.252766E+0
3.454883E+2	5.324719E+0
3.456014E+2	-4.362173E+0
3.457145E+2	1.044464E+0
3.458277E+2	1.167342E+0
3.459408E+2	5.509036E+0
3.460539E+2	-3.358669E+0
3.461669E+2	-1.843172E-1
3.462800E+2	9.052022E+0
3.463931E+2	7.782281E-1
3.465061E+2	-1.761253E+0
3.466191E+2	7.475086E+0
3.467321E+2	-2.416603E+0
3.468451E+2	3.030994E+0
3.469581E+2	-5.816231E+0
3.470711E+2	-1.023984E+1
3.471841E+2	5.324719E-1
3.472970E+2	1.392619E+0
3.474099E+2	5.939109E-1
3.475229E+2	3.891141E-1
3.476358E+2	-1.167342E+0
3.477486E+2	-2.764758E+0
3.478615E+2	7.434127E+0
3.479744E+2	1.212398E+1
3.480872E+2	3.317709E+0
3.482001E+2	6.799256E+0
3.483129E+2	6.573980E+0
3.484257E+2	5.447597E+0
3.485385E+2	-5.406638E+0
3.486513E+2	-4.710328E+0
3.487641E+2	6.881175E+0
3.488768E+2	-2.355164E+0
3.489896E+2	6.287264E+0
3.491023E+2	-2.723798E+0
3.492150E+2	2.949075E+0
3.493278E+2	-7.372688E-1
3.494404E+2	1.454058E+0
3.495531E+2	2.314205E+0
3.496658E+2	2.539481E+0
3.497784E+2	-1.226733E+1
3.498911E+2	1.228781E+0
3.500037E+2	-2.600920E+0
3.501163E+2	1.474537E+0
3.502289E+2	4.997044E+0
3.503415E+2	1.894371E+1
3.504541E+2	1.699814E+0
3.505667E+2	-5.078963E+0
3.506792E+2	-1.617895E+0
3.507917E+2	3.563466E+0
3.509043E+2	4.136897E+0
3.510168E+2	-3.133392E+0
3.511293E+2	-1.556456E+0
3.512417E+2	-6.963094E-1
3.513542E+2	4.382653E+0
3.514667E+2	3.071953E+0
3.515791E+2	2.908116E+0
3.516915E+2	7.434127E+0
3.518040E+2	1.118191E+1
3.519164E+2	1.163246E+1
3.520287E+2	2.744278E+0
3.521411E+2	-4.034498E+0
3.522535E+2	-5.959589E+0
3.523658E+2	8.109956E+0
3.524782E+2	-4.300734E-1
